id,Team_or_Opponent,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,team_id,season_id
24,opponent,13758,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306,10,3
25,opponent,17964,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370,12,3
26,opponent,18416,16454,1898,524,49,196,633,849,165,63,78,1,14618,64,353,19,3
27,opponent,19569,17561,1939,570,39,233,852,778,200,63,82,1,15630,69,346,24,3
28,opponent,19238,17216,1922,563,62,140,753,785,223,77,84,3,15598,100,331,27,3
29,opponent,19603,17628,1893,487,47,192,730,810,198,61,94,2,15807,82,336,29,3
30,opponent,21494,19437,1962,645,48,192,771,819,179,61,75,0,17070,95,355,34,3
31,opponent,17921,16112,1745,501,45,163,753,678,181,70,70,1,14391,64,321,35,3
32,opponent,20763,18826,1897,657,48,130,822,738,194,54,59,6,16934,40,323,54,3
33,opponent,18199,16063,2027,574,46,175,696,861,192,58,69,4,14139,109,344,67,3
34,opponent,17027,14931,2011,615,30,182,654,804,180,82,63,3,12926,85,379,70,3
35,opponent,15986,14341,1589,436,36,121,541,545,145,62,42,3,13004,56,299,71,3
36,opponent,16093,13951,2051,691,34,147,570,817,154,51,48,1,12130,91,332,72,3
37,opponent,17319,15346,1898,543,49,187,673,774,170,68,62,2,13660,75,277,80,3
38,opponent,16357,14310,1973,559,51,167,594,837,175,77,73,0,12580,74,347,91,3
39,opponent,17448,15392,2003,523,55,141,734,875,211,88,68,2,13635,53,349,92,3
40,opponent,15331,13541,1682,508,50,138,708,596,182,67,69,0,12047,108,304,93,3
1,team,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372,102,4
2,team,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320,1,4
3,team,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,6,4
4,team,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343,7,4
5,team,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335,10,4
6,team,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,12,4
7,team,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380,19,4
8,team,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304,24,4
9,team,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313,34,4
10,team,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314,35,4
11,team,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345,100,4
12,team,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392,104,4
13,team,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328,54,4
14,team,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383,67,4
15,team,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333,70,4
16,team,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,71,4
17,team,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,72,4
18,team,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357,80,4
19,team,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,91,4
20,team,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,93,4
21,opponent,20256,18248,1948,519,55,144,686,850,167,64,74,1,16352,60,310,102,4
22,opponent,19368,17353,1942,519,54,171,828,820,220,74,101,3,15460,73,352,1,4
23,opponent,19081,17121,1869,561,40,189,626,744,161,71,54,0,14887,91,352,6,4
24,opponent,19995,18152,1806,545,29,110,764,662,194,63,75,0,16440,37,419,7,4
25,opponent,13768,12007,1644,489,47,120,574,562,148,66,61,2,10455,117,302,10,4
26,opponent,18933,17017,1810,468,56,106,712,787,192,84,81,2,15171,106,388,12,4
27,opponent,21005,19016,1936,499,33,162,746,865,189,52,89,1,16975,53,395,19,4
28,opponent,19905,17878,1962,628,45,130,758,792,174,63,65,1,15783,65,372,24,4
29,opponent,18849,16675,2033,695,78,136,640,805,173,60,66,1,14502,141,292,34,4
30,opponent,16590,14841,1700,477,38,124,711,641,161,75,60,1,13335,49,314,35,4
31,opponent,19420,17386,1926,554,61,162,718,824,201,78,77,1,15485,108,365,100,4
32,opponent,15778,13845,1769,473,103,121,694,752,211,89,88,2,11893,164,371,104,4
33,opponent,19315,17321,1958,630,34,130,656,832,152,57,46,1,15384,36,277,54,4
34,opponent,19141,17116,1899,561,64,147,694,776,175,75,55,0,14977,126,343,67,4
35,opponent,17768,15686,1995,637,51,135,682,787,173,67,69,1,13590,87,360,70,4
36,opponent,17114,15408,1668,435,33,163,680,644,145,62,48,1,14072,38,376,71,4
37,opponent,15616,13483,2035,651,27,130,523,829,137,43,62,1,11674,98,322,72,4
38,opponent,18653,16574,2001,528,62,141,698,843,196,56,69,4,14795,78,340,80,4
39,opponent,20730,18759,1885,516,52,155,734,850,182,83,62,1,16672,86,344,91,4
40,opponent,19145,17341,1729,550,51,194,886,631,200,78,65,2,15642,75,305,93,4
